Date,Price,Open,High,Low,Vol.,Change %
09/30/2024,71.7,71.88,72.79,71.03,455.39K,0.22%
09/27/2024,71.54,70.71,72,70.44,444.19K,0.63%
09/26/2024,71.09,72.89,73.28,70.25,703.39K,-2.48%
09/25/2024,72.9,74.44,74.67,72.5,574.80K,-2.11%
09/24/2024,74.47,73.43,75.12,73.26,367.56K,1.72%
09/23/2024,73.21,73.94,74.44,72.41,380.98K,-0.65%
09/20/2024,73.69,73.89,74.16,73.2,280.48K,-0.43%
09/19/2024,74.01,72.41,74.35,72.16,329.25K,1.55%
09/18/2024,72.88,73.02,73.33,71.65,318.36K,-0.18%
09/17/2024,73.01,72.31,73.55,71.62,291.02K,1.19%
09/16/2024,72.15,71.42,72.72,70.92,236.18K,1.55%
09/13/2024,71.05,71.74,72.57,70.9,255.58K,-0.53%
09/12/2024,71.43,70.15,72.25,70.14,364.75K,1.80%
09/11/2024,70.17,69.29,70.59,68.59,302.87K,1.95%
09/10/2024,68.83,71.44,71.79,68.29,350.50K,-3.55%
09/09/2024,71.36,71.02,71.81,70.27,264.87K,0.92%
09/06/2024,70.71,72.41,73.11,70.26,331.55K,-2.24%
09/05/2024,72.33,72.3,73.67,72.01,390.68K,0.07%
09/04/2024,72.28,73.24,74.24,71.94,437.45K,-1.39%
09/03/2024,73.3,76.35,76.78,73.07,486.37K,-4.47%
09/02/2024,76.73,76.23,76.84,75.55,147.81K,-0.26%
08/30/2024,76.93,78.66,79.52,76.7,469.57K,-2.40%
08/29/2024,78.82,77.47,79.57,77.01,502.31K,1.60%
08/28/2024,77.58,78.93,79.11,77.14,414.26K,-1.37%
08/27/2024,78.66,80.16,80.46,78.56,431.21K,-2.12%
08/26/2024,80.36,78.4,80.53,78.31,405.68K,2.83%
08/23/2024,78.15,76.56,78.37,76.38,274.66K,2.09%
08/22/2024,76.55,75.41,77.01,75.21,289.22K,1.39%
08/21/2024,75.5,76.52,77.53,75.1,276.72K,-1.41%
08/20/2024,76.58,77.12,77.74,76.1,308.17K,-0.67%
08/19/2024,77.1,78.79,79.02,76.9,289.44K,-2.24%
08/16/2024,78.87,79.99,80.12,77.88,218.33K,-1.62%
08/15/2024,80.17,79.19,80.56,78.86,190.11K,1.44%
08/14/2024,79.03,80.21,80.62,78.87,254.39K,-1.13%
08/13/2024,79.93,80.96,81.36,79.78,231.16K,-1.78%
08/12/2024,81.38,79,81.46,78.74,245.73K,3.12%
08/09/2024,78.92,78.36,79.06,78.1,138.80K,0.56%
08/08/2024,78.48,77.93,78.63,76.99,223.67K,1.04%
08/07/2024,77.67,75.73,78.19,75.52,301.45K,2.16%
08/06/2024,76.03,77.07,77.48,75.26,261.07K,0.09%
08/05/2024,75.96,77,77.15,74.62,355.58K,-0.41%
08/02/2024,76.27,79.37,79.84,75.89,288.83K,-3.39%
08/01/2024,78.95,80.87,81.09,78.87,214.95K,-2.34%
07/31/2024,80.84,78.56,81.59,78.46,513.54K,3.55%
07/30/2024,78.07,78.89,79.21,77.95,483.31K,-1.24%
07/29/2024,79.05,80.6,80.86,78.64,415.09K,-1.53%
07/26/2024,80.28,81.43,81.72,79.42,391.71K,-1.36%
07/25/2024,81.39,80.68,81.56,79.28,403.98K,0.71%
07/24/2024,80.82,80.53,81.29,80.09,331.71K,0.94%
07/23/2024,80.07,81.31,81.78,79.67,417.06K,-1.68%
07/22/2024,81.44,81.74,82.14,80.62,305.47K,-0.15%
07/19/2024,81.56,83.55,84.18,81.48,282.34K,-2.82%
07/18/2024,83.93,84.1,84.66,83.17,339.45K,-0.04%
07/17/2024,83.96,82.76,84.07,82.51,264.92K,1.40%
07/16/2024,82.8,83.82,83.9,82.39,225.15K,-1.31%
07/15/2024,83.9,84.07,84.44,83.5,156.37K,-0.24%
07/12/2024,84.1,84.65,85.2,84.03,274.92K,-0.38%
07/11/2024,84.42,84.55,85.01,83.78,291.93K,0.26%
07/10/2024,84.2,84.14,84.76,83.23,288.32K,0.37%
07/09/2024,83.89,84.93,85.09,83.76,212.48K,-1.29%
07/08/2024,84.99,85.89,85.99,84.8,184.17K,-0.84%
07/05/2024,85.71,86.55,87.05,85.67,166.12K,-0.99%
07/04/2024,86.57,86.27,86.72,85.72,99.70K,0.06%
07/03/2024,86.52,85.61,86.56,85.13,204.73K,1.26%
07/02/2024,85.44,85.8,86.5,85.37,279.89K,-0.33%
07/01/2024,85.72,84.11,85.98,84.06,268.46K,0.85%
06/28/2024,85,85.37,86.18,84.52,397.03K,-0.30%
06/27/2024,85.26,84.27,85.58,84.1,494.69K,0.94%
06/26/2024,84.47,84.1,85.03,83.72,446.48K,0.30%
06/25/2024,84.22,85.18,85.39,83.94,387.39K,-1.09%
06/24/2024,85.15,84.16,85.28,83.89,296.61K,0.97%
06/21/2024,84.33,84.78,85.3,83.95,347.88K,-0.62%
06/20/2024,84.86,84.4,85.14,84.19,296.40K,0.68%
06/19/2024,84.29,84.61,84.98,84.17,256.69K,-0.28%
06/18/2024,84.53,83.62,84.7,82.97,393.65K,1.21%
06/17/2024,83.52,82.07,83.79,81.54,331.53K,1.75%
06/14/2024,82.08,81.71,82.92,81.55,308.91K,-0.27%
06/13/2024,82.3,81.96,82.6,81.4,279.64K,0.18%
06/12/2024,82.15,81.75,82.9,81.57,260.33K,0.75%
06/11/2024,81.54,81.46,81.96,80.85,259.22K,0.38%
06/10/2024,81.23,79.18,81.73,79.08,238.25K,2.38%
06/07/2024,79.34,79.66,80.02,79.05,201.17K,-0.20%
06/06/2024,79.5,78.3,79.68,78.06,281.44K,1.87%
06/05/2024,78.04,77.08,78.28,76.94,257.85K,1.00%
06/04/2024,77.27,78.02,78.08,76.66,346.39K,-1.21%
06/03/2024,78.22,80.92,81.4,77.94,317.47K,-3.56%
05/31/2024,81.11,81.83,82.69,80.75,457.00K,-0.94%
05/30/2024,81.88,83.35,83.58,81.83,484.70K,-1.86%
05/29/2024,83.43,84.32,84.72,83.14,380.06K,-0.61%
05/28/2024,83.94,82.79,84.35,82.76,332.17K,1.28%
05/27/2024,82.88,81.94,82.96,81.84,92.28K,1.27%
05/24/2024,81.84,81.11,82.16,80.44,269.41K,0.90%
05/23/2024,81.11,81.39,82.7,80.7,347.12K,-0.65%
05/22/2024,81.64,82.44,82.49,81.39,339.47K,-1.28%
05/21/2024,82.7,83.51,83.53,81.93,370.47K,-0.91%
05/20/2024,83.46,83.79,84.17,82.89,276.00K,-0.20%
05/17/2024,83.63,83.04,83.69,82.74,243.75K,0.92%
05/16/2024,82.87,82.6,83.32,81.91,236.41K,0.66%
05/15/2024,82.33,82.26,82.63,80.72,265.83K,0.45%
05/14/2024,81.96,82.94,83.15,81.66,258.35K,-1.15%
05/13/2024,82.91,82.33,83.36,81.82,228.77K,0.67%
05/10/2024,82.36,83.65,83.97,82.26,219.86K,-1.18%
05/09/2024,83.34,83.2,83.69,82.9,205.48K,0.41%
05/08/2024,83,82.57,83.26,81.31,250.67K,0.34%
05/07/2024,82.72,83.17,83.4,82.02,252.50K,-0.14%
05/06/2024,82.84,82.49,83.27,82.26,129.70K,0.47%
05/03/2024,82.45,83.25,83.74,82.29,216.13K,-0.70%
05/02/2024,83.03,82.84,83.75,82.44,264.27K,0.29%
05/01/2024,82.79,85.1,85.2,82.66,307.37K,-4.10%
04/30/2024,86.33,87.1,87.8,85.45,418.50K,-1.00%
04/29/2024,87.2,87.96,88.22,86.95,365.24K,-1.14%
04/26/2024,88.21,87.99,88.64,87.62,311.64K,0.50%
04/25/2024,87.77,86.88,88.06,86.23,400.17K,0.84%
04/24/2024,87.04,87.42,87.8,86.66,307.90K,-0.40%
04/23/2024,87.39,86.26,87.48,85.15,382.32K,1.53%
04/22/2024,86.07,86.3,86.36,85.03,318.53K,-0.51%
04/19/2024,86.51,86.33,89.84,85.51,393.96K,0.13%
04/18/2024,86.4,86.76,87.07,85.55,380.21K,-0.23%
04/17/2024,86.6,89.31,89.36,86.48,328.23K,-2.95%
04/16/2024,89.23,89.57,89.95,88.65,242.77K,-0.02%
04/15/2024,89.25,89.76,90.06,87.92,262.79K,-0.31%
04/12/2024,89.53,89.22,91.18,89.11,274.79K,0.79%
04/11/2024,88.83,89.58,89.96,88.52,254.15K,-0.74%
04/10/2024,89.49,88.59,89.73,87.96,226.75K,1.08%
04/09/2024,88.53,89.62,89.91,88.35,213.54K,-0.95%
04/08/2024,89.38,89.75,90.1,87.86,213.10K,-0.83%
04/05/2024,90.13,90.1,90.84,89.61,226.80K,0.52%
04/04/2024,89.66,88.54,90.27,87.88,232.09K,1.40%
04/03/2024,88.42,88.15,88.97,87.74,224.22K,0.60%
04/02/2024,87.89,86.68,88.26,86.67,240.74K,1.62%
04/01/2024,86.49,86.12,87,85.58,146.98K,-0.59%
03/28/2024,87,85.69,87.07,85.5,414.24K,1.86%
03/27/2024,85.41,85.27,85.7,84.58,369.27K,-0.26%
03/26/2024,85.63,86.16,86.42,85.19,338.86K,-0.52%
03/25/2024,86.08,84.83,86.51,84.79,354.26K,1.47%
03/22/2024,84.83,85.12,85.58,84.58,282.65K,-0.48%
03/21/2024,85.24,85.72,85.99,84.54,360.75K,-0.16%
03/20/2024,85.38,86.42,86.61,84.98,422.28K,-1.43%
03/19/2024,86.62,86.19,86.92,85.8,365.71K,0.50%
03/18/2024,86.19,84.77,86.44,84.66,346.94K,1.70%
03/15/2024,84.75,84.47,84.92,84.01,271.50K,0.01%
03/14/2024,84.74,83.41,84.96,83.36,330.47K,1.56%
03/13/2024,83.44,81.87,83.61,81.53,342.11K,2.43%
03/12/2024,81.46,81.94,82.46,81.22,234.94K,-0.32%
03/11/2024,81.72,81.38,82.16,80.62,276.88K,0.26%
03/08/2024,81.51,82.35,83.1,81.11,244.54K,-0.94%
03/07/2024,82.28,82.14,82.8,81.41,298.39K,0.12%
03/06/2024,82.18,81.27,83.19,81.14,258.32K,1.05%
03/05/2024,81.33,81.96,82.39,81.09,338.14K,-0.91%
03/04/2024,82.08,82.59,83.11,81.81,301.53K,-0.74%
03/01/2024,82.69,81.35,83.38,81.08,304.02K,0.95%
02/29/2024,81.91,81.83,82.84,81.51,402.34K,-0.29%
02/28/2024,82.15,82.35,83.13,81.56,421.52K,-0.62%
02/27/2024,82.66,81.77,82.75,81.25,301.07K,1.21%
02/26/2024,81.67,80.64,82.14,80.19,335.46K,1.08%
02/23/2024,80.8,82.43,82.54,80.64,337.54K,-2.30%
02/22/2024,82.7,82.25,82.9,81.39,335.76K,0.72%
02/21/2024,82.11,81.69,82.22,80.87,305.96K,0.75%
02/20/2024,81.5,82.45,82.79,81.27,263.13K,-1.49%
