Date,Price,Open,High,Low,Vol.,Change %
06/09/2023,2.3538,2.3756,2.3964,2.3523,21.23K,-1.18%
06/08/2023,2.382,2.3979,2.4192,2.3127,39.20K,-0.63%
06/07/2023,2.397,2.3573,2.4093,2.3432,33.66K,1.32%
06/06/2023,2.3657,2.3718,2.3803,2.3247,20.76K,-0.37%
06/05/2023,2.3746,2.4071,2.426,2.3623,22.29K,0.87%
06/02/2023,2.3542,2.3135,2.3752,2.3084,25.52K,1.85%
06/01/2023,2.3114,2.2451,2.334,2.2382,28.79K,2.69%
05/31/2023,2.2509,2.2832,2.2839,2.2268,43.16K,-0.80%
05/30/2023,2.269,2.3677,2.3766,2.2649,64.44K,-4.23%
05/29/2023,2.3692,2.3635,2.3635,2.3385,0.38K,0.59%
05/26/2023,2.3554,2.334,2.378,2.321,54.14K,0.80%
05/25/2023,2.3366,2.3971,2.4031,2.3082,44.70K,-2.72%
05/24/2023,2.4019,2.3696,2.4086,2.3643,48.74K,2.10%
05/23/2023,2.3525,2.3583,2.3945,2.3442,46.35K,-0.14%
05/22/2023,2.3558,2.3559,2.37,2.3191,38.38K,0.14%
05/19/2023,2.3524,2.3919,2.4288,2.3447,48.75K,-1.38%
05/18/2023,2.3854,2.4072,2.4106,2.3614,38.01K,-0.92%
05/17/2023,2.4075,2.344,2.4143,2.3267,40.05K,2.59%
05/16/2023,2.3467,2.3639,2.3769,2.3277,30.01K,-0.55%
05/15/2023,2.3597,2.2983,2.369,2.2739,38.99K,2.70%
05/12/2023,2.2976,2.3522,2.3522,2.2936,27.51K,-1.94%
05/11/2023,2.343,2.3901,2.4158,2.3379,32.75K,-1.92%
05/10/2023,2.3888,2.3944,2.4052,2.3653,36.03K,-0.13%
05/09/2023,2.3919,2.3655,2.3949,2.3258,24.16K,0.53%
05/08/2023,2.3794,2.3183,2.3862,2.316,22.32K,2.61%
05/05/2023,2.3189,2.2444,2.3287,2.2347,24.42K,3.39%
05/04/2023,2.2428,2.215,2.2733,2.155,24.95K,0.37%
05/03/2023,2.2345,2.2961,2.2999,2.2068,27.38K,-2.49%
05/02/2023,2.2915,2.3842,2.3989,2.2761,28.20K,-3.88%
05/01/2023,2.384,2.3747,2.3903,2.3321,22.27K,0.29%
04/28/2023,2.3771,2.3555,2.3943,2.3261,54.17K,1.05%
04/27/2023,2.3525,2.3701,2.3885,2.3324,57.62K,-0.70%
04/26/2023,2.3692,2.4463,2.4676,2.365,57.80K,-3.21%
04/25/2023,2.4477,2.519,2.5377,2.4429,60.52K,-2.97%
04/24/2023,2.5226,2.4908,2.5363,2.447,60.66K,1.75%
04/21/2023,2.4792,2.4777,2.5077,2.4614,40.32K,-0.06%
04/20/2023,2.4808,2.5346,2.5346,2.4608,51.09K,-2.33%
04/19/2023,2.5401,2.5781,2.5823,2.5246,43.31K,-1.60%
04/18/2023,2.5815,2.5957,2.6057,2.5598,46.63K,-0.26%
04/17/2023,2.5882,2.616,2.6277,2.565,49.39K,-1.05%
04/14/2023,2.6156,2.6461,2.6467,2.6046,50.32K,-0.79%
04/13/2023,2.6363,2.6588,2.6703,2.6271,35.12K,-0.89%
04/12/2023,2.66,2.6212,2.6746,2.6067,43.12K,1.41%
04/11/2023,2.623,2.6282,2.6492,2.5796,47.55K,-0.22%
04/10/2023,2.6287,2.618,2.6499,2.5916,32.77K,0.63%
04/06/2023,2.6122,2.6725,2.6753,2.6083,54.77K,-2.23%
04/05/2023,2.6717,2.6388,2.678,2.6098,53.38K,1.83%
