Date,Price,Open,High,Low,Vol.,Change %
09/29/2022,2.5076,2.5705,2.5705,2.5502,0.08K,-2.73%
09/28/2022,2.5779,2.472,2.5789,2.472,0.45K,3.40%
09/27/2022,2.4931,2.4292,2.4963,2.4292,0.43K,4.57%
09/26/2022,2.3842,2.3531,2.432,2.3531,0.88K,2.29%
09/25/2022,2.3308,2.3223,2.3308,2.3214,,-2.19%
09/23/2022,2.383,2.4665,2.4689,2.3512,1.50K,-5.27%
09/22/2022,2.5157,2.5425,2.587,2.497,0.96K,1.17%
09/21/2022,2.4865,2.4679,2.5219,2.4542,0.94K,1.58%
09/20/2022,2.4478,2.4862,2.5084,2.431,0.90K,-0.66%
09/19/2022,2.4641,2.3934,2.4704,2.3437,1.76K,1.79%
09/18/2022,2.4207,2.4192,2.4271,2.4143,,0.21%
09/16/2022,2.4157,2.4216,2.4457,2.3755,2.33K,-0.54%
09/15/2022,2.4287,2.5336,2.5336,2.3892,2.45K,-3.79%
09/14/2022,2.5245,2.4969,2.5592,2.4383,3.57K,1.78%
09/13/2022,2.4804,2.4613,2.5087,2.4191,2.67K,1.46%
09/12/2022,2.4448,2.4075,2.4913,2.4075,2.29K,0.83%
09/11/2022,2.4246,2.4273,2.4352,2.4236,,-0.35%
09/09/2022,2.4331,2.34,2.4459,2.34,1.99K,3.71%
09/08/2022,2.3461,2.3272,2.359,2.2889,1.81K,1.66%
09/07/2022,2.3077,2.4171,2.4653,2.3015,1.90K,-4.48%
09/06/2022,2.4159,2.4824,2.5137,2.4101,2.04K,-3.45%
09/05/2022,2.5021,2.4862,2.5258,2.4779,0.67K,0.83%
09/04/2022,2.4814,2.4675,2.4893,2.4675,,0.72%
09/02/2022,2.4636,2.4097,2.4971,2.4097,2.49K,3.28%
09/01/2022,2.3853,2.4254,2.4254,2.3526,2.72K,-1.87%
08/31/2022,2.4308,2.5423,2.5564,2.414,2.68K,-9.78%
08/30/2022,2.6944,2.8845,2.8845,2.687,0.20K,-6.37%
08/29/2022,2.8776,2.8656,2.8839,2.7925,0.28K,7.81%
08/28/2022,2.6691,2.6627,2.6768,2.6563,,-6.39%
08/26/2022,2.8513,2.8224,2.8583,2.73,1.42K,1.39%
08/25/2022,2.8121,2.8299,2.8614,2.7777,0.97K,0.41%
08/24/2022,2.8007,2.9157,2.9492,2.7685,1.23K,-4.51%
08/23/2022,2.933,2.8968,2.9648,2.855,1.31K,1.45%
08/22/2022,2.8912,2.9758,3.0095,2.8458,1.33K,-3.39%
08/21/2022,2.9928,3.004,3.005,2.9842,,-0.82%
08/19/2022,3.0175,3.0533,3.0533,2.9677,1.35K,-0.28%
08/18/2022,3.0261,2.9461,3.0506,2.9411,2.64K,3.12%
08/17/2022,2.9345,2.9291,2.9522,2.8625,4.19K,1.17%
08/16/2022,2.9007,2.9415,2.9639,2.8808,2.41K,-1.73%
08/15/2022,2.9517,3.0227,3.0347,2.8918,2.73K,-3.01%
08/14/2022,3.0434,3.0491,3.051,3.0419,,-0.09%
08/12/2022,3.046,3.0674,3.0833,3.0054,2.49K,-0.83%
08/11/2022,3.0715,3.0594,3.1181,3.0386,2.72K,0.04%
08/10/2022,3.0703,2.9765,3.0846,2.9217,4.55K,3.72%
08/09/2022,2.9602,2.8954,2.9801,2.8568,2.86K,2.56%
08/08/2022,2.8862,2.8848,2.9047,2.8302,3.07K,1.89%
08/07/2022,2.8326,2.8522,2.8622,2.8296,,-0.81%
08/05/2022,2.8556,2.7752,2.8771,2.7641,3.34K,2.22%
08/04/2022,2.7935,2.9353,2.9353,2.762,2.91K,-4.08%
08/03/2022,2.9122,3.056,3.1381,2.9036,5.30K,-4.73%
08/02/2022,3.0567,2.9995,3.111,2.9425,3.01K,1.95%
08/01/2022,2.9981,3.0796,3.0929,2.9135,3.47K,-3.27%
07/31/2022,3.0995,3.0863,3.0995,3.0819,,-0.44%
07/29/2022,3.1132,3.1359,3.2471,3.0899,4.21K,-10.14%
07/28/2022,3.4646,3.452,3.452,3.3788,0.07K,1.04%
07/27/2022,3.4288,3.369,3.4433,3.3516,1.09K,2.20%
07/26/2022,3.355,3.4194,3.4576,3.2996,1.07K,-0.80%
