Date,Price,Open,High,Low,Vol.,Change %
08/22/2024,73.01,71.93,73.52,71.58,334.12K,1.50%
08/21/2024,71.93,73.12,74.16,71.46,390.53K,-2.85%
08/20/2024,74.04,74.34,75.03,73.5,25.80K,-0.44%
08/19/2024,74.37,76.58,76.87,74.17,118.17K,-2.97%
08/16/2024,76.65,78.16,78.16,75.54,100.81K,-1.93%
08/15/2024,78.16,77.52,78.6,76.93,195.12K,1.53%
08/14/2024,76.98,78.73,79.1,76.83,357.64K,-1.75%
08/13/2024,78.35,79.74,80.15,78.16,370.76K,-2.14%
08/12/2024,80.06,76.99,80.16,76.7,376.75K,4.19%
08/09/2024,76.84,76.02,77.09,75.85,263.01K,0.85%
08/08/2024,76.19,75.47,76.52,74.6,327.30K,1.28%
08/07/2024,75.23,72.84,75.84,72.58,428.00K,2.77%
08/06/2024,73.2,73.86,74.56,72.2,352.25K,0.36%
08/05/2024,72.94,74.21,74.46,71.67,500.15K,-0.79%
08/02/2024,73.52,76.87,77.29,72.97,467.79K,-3.66%
08/01/2024,76.31,78.59,78.88,76.24,383.01K,-2.05%
07/31/2024,77.91,75.24,78.66,75.18,460.32K,4.26%
07/30/2024,74.73,75.91,75.97,74.59,419.48K,-1.42%
07/29/2024,75.81,77.3,77.69,75.35,362.64K,-1.75%
07/26/2024,77.16,78.35,78.6,76.19,365.12K,-1.43%
07/25/2024,78.28,77.5,78.47,76.04,457.29K,0.89%
07/24/2024,77.59,77.45,78.19,76.98,355.97K,0.82%
07/23/2024,76.96,78.27,78.73,76.4,417.94K,-3.53%
07/22/2024,79.78,80.39,80.69,79.17,27.34K,-0.44%
07/19/2024,80.13,82.47,82.88,80.07,83.80K,-3.25%
07/18/2024,82.82,83.11,83.82,82.04,95.70K,-0.04%
07/17/2024,82.85,80.85,83.1,80.45,257.44K,2.59%
07/16/2024,80.76,81.92,81.93,80.22,308.19K,-1.40%
07/15/2024,81.91,82.16,82.58,81.47,296.52K,-0.36%
07/12/2024,82.21,82.86,83.74,82.1,370.06K,-0.50%
07/11/2024,82.62,82.4,83.13,81.63,324.17K,0.63%
07/10/2024,82.1,81.81,82.66,80.81,334.38K,0.85%
07/09/2024,81.41,82.22,82.48,81.25,297.33K,-1.12%
07/08/2024,82.33,83.15,83.32,82.08,251.77K,-1.00%
07/05/2024,83.16,83.6,84.52,83.02,361.36K,-0.93%
07/04/2024,83.94,83.61,84.2,83.03,,0.07%
07/03/2024,83.88,83.2,83.93,82.46,289.69K,1.29%
07/02/2024,82.81,83.43,84.38,82.72,367.79K,-0.68%
07/01/2024,83.38,81.45,83.64,81.38,345.78K,2.26%
06/28/2024,81.54,81.86,82.72,80.97,260.25K,-0.24%
06/27/2024,81.74,80.86,82.04,80.51,306.34K,1.04%
06/26/2024,80.9,80.72,81.63,80.18,308.41K,0.09%
06/25/2024,80.83,81.7,81.9,80.55,286.04K,-0.98%
06/24/2024,81.63,80.45,81.78,80.23,271.75K,1.11%
06/21/2024,80.73,81.27,81.79,80.35,290.50K,-1.75%
06/20/2024,82.17,81.52,82.41,81.13,23.27K,1.96%
06/19/2024,80.59,80.78,81.16,80.31,,-1.20%
06/18/2024,81.57,80.43,81.67,79.77,140.71K,1.54%
06/17/2024,80.33,78.48,80.66,77.98,126.73K,2.40%
06/14/2024,78.45,77.96,79.15,77.73,245.83K,-0.22%
06/13/2024,78.62,78.37,78.89,77.67,307.64K,0.15%
06/12/2024,78.5,78.22,79.32,77.88,322.29K,0.77%
06/11/2024,77.9,78.12,78.36,77.22,314.87K,0.21%
06/10/2024,77.74,75.35,78.29,75.23,317.03K,2.93%
06/07/2024,75.53,75.67,76.25,75.21,280.25K,-0.03%
06/06/2024,75.55,74.3,75.79,74.06,291.08K,2.00%
06/05/2024,74.07,72.9,74.33,72.82,307.70K,1.12%
06/04/2024,73.25,74.02,74.13,72.48,408.72K,-1.31%
06/03/2024,74.22,76.97,77.52,73.98,443.27K,-3.60%
05/31/2024,76.99,77.91,78.62,76.67,345.12K,-1.18%
05/30/2024,77.91,79.28,79.42,77.63,373.78K,-1.67%
05/29/2024,79.23,80.26,80.62,78.99,259.59K,-0.75%
05/28/2024,79.83,77.81,80.29,77.69,334.07K,1.50%
05/27/2024,78.65,77.84,78.8,77.75,,1.20%
05/24/2024,77.72,77.04,78.05,76.15,299.08K,1.11%
05/23/2024,76.87,77.29,78.66,76.43,330.27K,-0.90%
05/22/2024,77.57,78.21,78.41,77.25,314.15K,-2.13%
05/21/2024,79.26,79.7,79.72,78.08,34.18K,-0.68%
05/20/2024,79.8,80.01,80.6,79.17,85.07K,-0.32%
05/17/2024,80.06,79.38,80.14,79,94.15K,1.05%
05/16/2024,79.23,78.84,79.85,78.2,230.28K,0.76%
05/15/2024,78.63,78.44,78.92,76.7,321.27K,0.78%
05/14/2024,78.02,79.23,79.38,77.68,307.41K,-1.39%
05/13/2024,79.12,78.18,79.49,77.78,287.70K,1.10%
05/10/2024,78.26,79.59,79.96,78.14,281.17K,-1.26%
05/09/2024,79.26,79.23,79.8,78.91,272.71K,0.34%
05/08/2024,78.99,78.34,79.27,76.89,355.45K,0.78%
